accession	description	tax_id
X03048	Drosophila mulleri adh genes for alcohol dehydrogenase (adh-1, adh-2, pseudo-adh)	7231
X12536	Drosophila mojavensis Adh-1, Adh-2 and Adh-psi genes	7230
EF136969	Drosophila americana isolate FP99.05 Adh (Adh) gene, partial cds.	40366
EF136970	Drosophila americana isolate FP99.13 Adh (Adh) gene, partial cds.	40366
EF137005	Drosophila americana isolate IR04.36 Adh (Adh) gene, partial cds.	40366
EF136983	Drosophila americana isolate HI99.55 Adh (Adh) gene, partial cds.	40366
EF136996	Drosophila americana isolate SB02.15 Adh (Adh) gene, partial cds.	40366
EF137006	Drosophila americana isolate IR04.69 Adh (Adh) gene, partial cds.	40366
EF137008	Drosophila americana isolate IR04.109 Adh (Adh) gene, partial cds.	40366
L26039	Drosophila peninsularis adh pseudogene.	30014
MN267983	Drosophila subquinaria isolate S_DE_2 ADH-related protein (ADH-R) gene, partial cds.	198725
MN267969	Drosophila recens isolate R_KA_142 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267989	Drosophila subquinaria isolate S_KA_12 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268009	Drosophila transversa isolate T_UP_5 ADH-related protein (ADH-R) gene, partial cds.	193351
MN267977	Drosophila recens isolate R_NO ADH-related protein (ADH-R) gene, partial cds.	55946
MN267986	Drosophila subquinaria isolate S_HI_25 ADH-related protein (ADH-R) gene, partial cds.	198725
MN268010	Drosophila transversa isolate T_UP_6 ADH-related protein (ADH-R) gene, partial cds.	193351
MN267962	Drosophila recens isolate R_SM_15 ADH-related protein (ADH-R) gene, partial cds.	55946
MN267988	Drosophila subquinaria isolate S_HI_32 ADH-related protein (ADH-R) gene, partial cds.	198725
Y17611	Drosophila funebris Adh and Adhr genes	7221
U77607	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264
U77609	Drosophila buzzatii Adh-Finnegan gene, partial cds.	7264
DQ471662	Drosophila littoralis alcohol dehydrogenase (Adh) gene, partial cds.	47316
MG684381	Drosophila kepulauana alcohol dehydrogenase (Adh) gene, partial cds.	88882
OP168390	Drosophila bromelioides isolate Dbd_Ah Adh gene, partial cds.	3040703
U26838	Drosophila flavomontana alcohol dehydrogenase (Adh) gene, complete cds.	40367
DQ471665	Drosophila montana alcohol dehydrogenase (Adh) gene, partial cds.	40370
MG684383	Drosophila siamana alcohol dehydrogenase (Adh) gene, partial cds.	157059
AF059891	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.	7257
AY750117	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	311474
AY750124	Drosophila micromelanica alcohol dehydrogenase (Adh) gene, partial cds.	189258
AY750135	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480
DQ471629	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041
DQ471632	Drosophila daruma alcohol dehydrogenase (Adh) gene, partial cds.	309936
DQ471633	Drosophila fluvialis alcohol dehydrogenase (Adh) gene, partial cds.	381460
DQ471666	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.	103845
DQ471627	Drosophila angor alcohol dehydrogenase (Adh) gene, partial cds.	381448
DQ471634	Drosophila latifshahi alcohol dehydrogenase (Adh) gene, partial cds.	309938
DQ471656	Drosophila anceps alcohol dehydrogenase (Adh) gene, partial cds.	302448
GQ376031	Drosophila sulfurigaster alcohol dehydrogenase (ADH) gene, partial cds.	88886
AB261129	Drosophila annulipes Adh gene for alcohol dehydrogenase, partial cds.	157053
AB261130	Drosophila quadrilineata Adh gene for alcohol dehydrogenase, partial cds.	387621
U76485	Drosophila mulleri alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.	7231
U76486	Drosophila mojavensis alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.	7230
DQ471643	Drosophila virilis strain 174 alcohol dehydrogenase (Adh) gene, partial cds.	7244
DQ471617	Drosophila angor strain 118 alcohol dehydrogenase (Adh) gene, partial cds.	381448
DQ471642	Drosophila barutani strain 176 alcohol dehydrogenase (Adh) gene, partial cds.	381452
M62742	D.mayaguana alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7268
MK017205	UNVERIFIED: Drosophila guttifera adh-related-like (Adhr) gene, partial sequence.	66368
AY095941	Drosophila kuntzei isolate kun3 alcohol dehydrogenase (Adh) gene, partial cds.	42027
AY095947	Drosophila unispina isolate uni1 alcohol dehydrogenase (Adh) gene, partial cds.	193352
DQ471614	Drosophila angor strain C120 alcohol dehydrogenase (Adh) gene, partial cds.	381448
DQ471625	Drosophila perlucida strain 186 alcohol dehydrogenase (Adh) gene, partial cds.	381468
M62743	D.buzzatii alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7264
MK017206	UNVERIFIED: Drosophila immigrans adh-related-like (Adhr) gene, partial sequence.	7250
KX384732	Drosophila nasuta strain IND_DN_U11 alcohol dehydrogenase (Adh) gene, partial cds.	42062
AY095935	Drosophila limbata isolate lim1 alcohol dehydrogenase (Adh) gene, partial cds.	42028
DQ471641	Drosophila neokadai strain 172 alcohol dehydrogenase (Adh) gene, partial cds.	311476
AY095950	Drosophila phalerata isolate pha2 alcohol dehydrogenase (Adh) gene, partial cds.	7283
DQ471647	Drosophila bai strain 247 alcohol dehydrogenase (Adh) gene, partial cds.	311478
MK017219	UNVERIFIED: Drosophila subquinaria adh-related-like (Adhr) gene, partial sequence.	198725
DQ471622	Drosophila hei strain 4 alcohol dehydrogenase (Adh) gene, partial cds.	381462
EU999242	Drosophila americana isolate FP99.33 alcohol dehydrogenase (Adh) gene, partial cds.	40366
LC057780	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KMT408.	7291
AF136692	Drosophila americana americana G96.40Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136702	Drosophila americana texana LP97.08 alcohol dehydrogenase (Adh) gene, partial cds.	40372
AF136704	Drosophila americana texana LP97.13 alcohol dehydrogenase (Adh) gene, partial cds.	40372
EF560576	Drosophila gasici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306028
LC057775	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: GZL3.	7291
LC057776	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: HNZ12.	7291
LC057781	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: KT48.	7291
LC057805	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: VNS23.	42062
U76470	Drosophila hydei strain 2 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136656	Drosophila americana americana G96.03X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136663	Drosophila americana americana G96.30X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136673	Drosophila americana americana G96.45X alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136681	Drosophila americana americana G96.03Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136698	Drosophila americana americana G96.46Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AF136700	Drosophila americana texana LP97.03 alcohol dehydrogenase (Adh) gene, partial cds.	40372
AY695389	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	133979
U76476	Drosophila hydei strain 8 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
EF560577	Drosophila mesophragmatica pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306029
U76474	Drosophila hydei strain 6 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224
AF136677	Drosophila americana americana D.am-.6Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340302	Drosophila americana pop-variant NN97.08Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340278	Drosophila americana pop-variant DN00.01X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340292	Drosophila americana pop-variant NN00.09X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340294	Drosophila americana pop-variant DN00.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
AF136678	Drosophila americana americana D.am-.3Y alcohol dehydrogenase (Adh) gene, partial cds.	95109
AY340295	Drosophila americana pop-variant DN00.04Y alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76483	Drosophila mulleri strain -1371.22 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY340280	Drosophila americana pop-variant DN00.04X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340284	Drosophila americana pop-variant NN97.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366
AY340285	Drosophila americana pop-variant NN97.04X alcohol dehydrogenase (Adh) gene, partial cds.	40366
U76480	Drosophila mulleri strain -1371.16 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231
AY695385	Drosophila belladunni alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133993
AY154844	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154854	Drosophila arizonae strain AR00 5 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263
AB932673	Drosophila similis Adh gene for alcohol dehydrogenase, partial cds, strain: 15182-2321.00.	133976
AY154843	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
AY154845	Drosophila arizonae strain ARTU 35 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263
EF560579	Drosophila gaucha pop-variant Campos do Jordao alcohol dehydrogenase (adh) gene, partial cds.	30028
